GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maestro,com.microproductos.maestro.security,SecurityConfig,8,119,0,0,3,26,1,7,1,7
maestro,com.microproductos.maestro.security,CustomAuthenticationEntryPoint,8,3,0,0,3,1,1,1,1,1
maestro,com.microproductos.maestro.exception,GlobalExceptionHandler,0,39,0,0,0,9,0,4,0,4
maestro,com.microproductos.maestro.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
maestro,com.microproductos.maestro.controller,ProductoController,12,122,0,0,0,27,2,10,2,10
maestro,com.microproductos.maestro,MaestroApplication,0,8,0,0,0,3,0,2,0,2
maestro,com.microproductos.maestro.model,Producto,0,31,0,0,0,9,0,9,0,9
maestro,com.microproductos.maestro.service,ProductoService,0,23,0,0,0,6,0,5,0,5
